merchant_id,tax_registration,merchant_name,mobile_no,start_date,email,address,state,country,pincode,description,longlat
36,"e8cee1bc-875a-4448-bafa-2a0a469bd134","Carlos Morris LLP",893821633,"1986-06-02 13:38:02","35_Santos@yahoo.com","2238 Umber Pebble Lagoon","ky","fr",598096,"where won't zero it's we'll for","-91.49 : 39.30"
37,"8dd94d7b-5dfc-4244-91c9-f97ae2b70bdc","Harley Smith Inc",962849893,"1989-02-02 21:28:38","36_Thomas@gmail.com","891 Heather Bluff Gate","oh","us",826978,"a a is","-89.76 : 33.02"
38,"b2eb3ff0-e41a-4ce6-8c4c-3e241d343166","Amanda Bryant Inc",937747240,"1987-09-17 16:37:55","37_Virginia@gmail.com","2294 Quaking Barn Vista","fl","br",993051,"stole looks","-76.11 : 40.90"
39,"2f17d7a1-2f09-4793-87f6-59c74cf0dd2d","Kenneth Harmon LLP",902323114,"1993-03-07 07:19:26","38_Christopher@gmail.com","9781 Strong Pine Landing","ca","de",905315,"gherkins now","-76.86 : 37.92"
40,"fa66d106-75de-4e5b-9c31-b7f2c36aa065","Diane James Inc",891517333,"1992-02-21 00:16:17","39_Joe@gmail.com","60642 Sleepy Oak Hollow","tx","us",862495,"come","-94.97 : 31.26"
41,"efa16614-ba68-4485-9c6e-20c14955addf","Pamela Rios Inc",894743983,"1986-12-29 06:48:18","40_Kristin@gmail.com","131 Sleepy Embers Place","il","mx",690072,"stuck you freedom chair found some you i really so to mess anyway what","-74.33 : 42.70"
42,"d436b878-45a1-4246-8270-6c9a0ce452de","Ella Rios Inc",903237503,"1983-09-01 23:58:12","41_Faith@yahoo.com","90556 High Leaf Run","pa","mx",755870,"","-91.20 : 39.70"
43,"591f38e8-ce11-447b-88f7-d8d9103f7c12","Solomon Schmidt Inc",967485716,"1983-03-23 02:34:22","42_Anna@gmail.com","35805 Honey Shadow Park","oh","br",105677,"","-70.59 : 41.93"
44,"968cab0f-3a1d-4e31-a0f0-fe6018b94ddc","Norman Taylor Inc",990544808,"1985-09-06 23:32:52","43_Kenneth@gmail.com","4490 Pearl Apple Lane","ca","br",405196,"i is to","-94.82 : 38.75"
45,"90db28fb-a5d2-4ac2-8b3d-227b1eaf5d5f","James Thomas Inc",997000035,"1993-10-16 05:06:36","44_Troy@gmail.com","54 Dusty Mountain Point","ar","ko",130736,"i believe","-79.88 : 40.29"
46,"da0a3222-ac59-41eb-a4fc-97ab82746c11","Rosa Smith LLP",962946895,"1982-05-20 19:11:09","45_Emily@hotmail.com","2300 Little Wagon Field","ny","de",622707,"just i here high in what middle we've","-99.70 : 31.77"
47,"0394314d-7102-422e-84cf-f72bb97339c5","Doris Bennett Inc",952969208,"1987-04-12 06:46:56","46_Mary@gmail.com","75853 Quaking Brook Canyon","co","in",556562,"all","-119.28 : 35.86"
48,"30514a11-b3ee-49e4-a9df-754690022164","Thomas Samples Inc",975363436,"1999-04-20 19:40:26","47_Beverly@yahoo.com","10863 Rustic Rock Twist","co","us",149529,"mind it's took like to i case","-93.63 : 45.05"
49,"24e7799c-4193-418f-9100-41e232de52d4","Rolanda Creech Inc",956381543,"1982-02-26 02:47:24","48_Mary@hotmail.com","10732 Lonely Bluff Meadow","ks","de",582791,"that my gummi for hey bread three undercover lot was lost of","-117.79 : 33.62"
50,"61977801-957d-4499-aba5-1bcd61e5a8bb","Geneva Gray LLP",954465631,"1987-11-22 23:34:34","49_Ora@hotmail.com","1253 Shady Anchor Gate","ny","in",761985,"","-88.02 : 30.92"
51,"dd2a1e44-8230-4ed6-ad8f-c8a4628ee31d","Thomas Fish Inc",922613267,"1992-02-14 20:36:01","50_Hobert@yahoo.com","10602 Gentle Mountain Bluff","az","us",582961,"screeching works oh has marge get","-111.84 : 39.08"
52,"9895b2d9-537b-41c6-804c-5474073c880a","Lawrence Fox LLP",902476625,"1994-07-23 18:18:21","51_Jeanne@gmail.com","38441 Tawny Rabbit Orchard","sc","ko",425127,"you a we've lord our sorry","-82.46 : 28.91"
53,"5a9b3156-434f-4cda-b4b7-a362a36961d9","Ryan Long Inc",925579778,"1992-02-15 17:55:53","52_Christina@gmail.com","9926 Foggy Panda Niche","wa","de",865714,"for that it come i'm a it's of hours lisa did i it to","-93.38 : 36.75"
54,"cfe0bb7d-fb61-4b96-841f-4d01b054969d","Jacqueline Johnson Inc",982728702,"1996-10-19 03:26:02","53_David@hotmail.com","14079 Crimson Snake Cut","ar","jp",178475,"ready of kapur learn no together","-122.35 : 37.92"
55,"1afcb0f6-a37f-4b13-b986-bc18054c36d8","Reginald Simon LLP",891903442,"1996-10-18 11:43:03","54_Opal@gmail.com","5399 Bent Swan Bayou","pa","de",830625,"didn't tonic","-94.02 : 36.01"
56,"f4a2c04a-75eb-4673-8107-77094320f1a2","Victor Malbrough LLP",926292162,"1988-02-13 22:59:59","55_Kristen@gmail.com","24223 Little Mill Bank","mt","us",541437,"room i","-119.06 : 37.77"
57,"0e256efa-696d-4c54-9f83-141ece44eaad","Phyllis Jackson Inc",914216957,"1993-04-21 00:47:03","56_Sharon@yahoo.com","26644 Honey Anchor Path","ct","ru",330233,"perhaps family weakness up","-94.71 : 38.17"
58,"441867d2-9a48-481d-b1c7-0263eaee8afa","Jan Smith Inc",925194492,"1992-11-20 10:50:02","57_Barbara@yahoo.com","47045 Lone Cider Pike","oh","in",905474,"making can ooh shock it cardioverter mind we suggest","-116.86 : 32.77"
59,"8a3d25c1-ff01-4744-9574-cad196821f18","Jay Nickerson Inc",913994144,"1987-07-22 05:20:07","58_Catherine@hotmail.com","23972 Honey Brook Trace","ri","uk",388095,"","-92.36 : 46.70"
60,"42589eda-308e-4eef-a533-0ef72a993e41","Jeff Koeller Inc",957008064,"1996-09-01 01:33:54","59_Esther@gmail.com","259 White Grove Highlands","ny","us",254037,"","-96.99 : 39.98"
61,"8c4f3651-507e-4988-9bf0-216a331bdbb5","Diana Lopez Store",934930079,"1998-06-20 14:24:05","60_Beatrice@gmail.com","70179 Lone Pine Park","tx","ru",216319,"cruel and","-91.96 : 41.00"
62,"7d0fc591-c161-4731-8180-f1a2b46e981c","Brenda Sherry LLP",899029005,"1996-11-14 00:09:10","61_Betty@gmail.com","37347 Sweet Branch Terrace","pa","us",918687,"stay","-82.44 : 29.04"
63,"04f7cbb5-60ca-4a49-8a2b-f811ca55fae3","Mark Derry LLP",896174123,"1981-06-18 16:02:01","62_Jeannie@hotmail.com","76684 Foggy Stone Highlands","ca","uk",997180,"and anything my","-96.79 : 32.78"
64,"eb341812-45f1-45d0-9f22-28883723bbc2","Ian Salazar LLP",936957672,"1996-10-17 20:48:04","63_Ryan@yahoo.com","97707 Tawny Goat Valley","tx","de",917017,"","-71.50 : 43.65"
65,"0e625f95-79c0-424b-a718-804d2076c2f6","Brian Madore LLP",996288811,"1986-11-09 01:39:13","64_Charles@gmail.com","16891 Pretty Beaver Road","fl","us",980928,"come i that's were oh know what","-91.95 : 43.97"
66,"ce926e1c-6e7e-49ea-a9f3-da7f3a0812ce","Robert Bottom Inc",920766625,"1998-10-30 03:09:14","65_Alan@gmail.com","73003 Colonial Holly Bend","mi","us",858303,"is sure every i'd made hiccups him the oh think stringency quite baby life springfield the guy's i filled just even","-66.39 : 18.22"
67,"2fdfdc17-d45b-4b72-87d3-2089caedf7a0","Lavada Ballard Inc",923104274,"1987-01-15 07:50:35","66_Jared@gmail.com","46648 Little Barn Isle","ca","us",167503,"all much the he program","-105.42 : 41.04"
68,"4ca7ae10-9c88-44b1-a71c-fdd6862eb344","George Kirsch Inc",883800333,"1981-08-16 09:17:52","67_Donald@gmail.com","3644 Ivory Diamond Cut","il","in",293236,"we've rapture we of immigrants next","-95.23 : 35.88"
69,"d145d6f5-0d2d-4f0e-ad4f-c5052896ef9d","Martha Bynum Inc",885749425,"1982-11-16 20:50:27","68_George@gmail.com","2375 Thunder Timber Lace","tx","in",100492,"man right can trying and easy losers start uh-oh long overy taking homer from nick able good waters us lot","-72.34 : 41.40"
70,"a4cc8f2c-5b46-48ac-a114-824edce4a7e1","Deirdre Sweet Inc",984004333,"1986-08-08 20:33:10","69_Seth@gmail.com","90256 Iron Crow Pace","nc","us",422973,"it piece your i'd my mean left everything mean my first shop a lisa you me bart the and","-122.41 : 48.79"
71,"be4fa1df-2632-4ddc-b542-19e0f59a7a9e","Rachel House LLP",918044593,"1987-03-06 11:32:28","70_Jarred@gmail.com","14871 Golden Cloud Gardens","nj","jp",422343,"son and never","-96.09 : 29.31"
72,"b9868707-02c5-4557-9f58-1a546fb286a8","Lori Cunningham Inc",935946432,"1984-05-03 03:24:03","71_Sarah@gmail.com","99812 Little Cottage Hollow","wa","us",631889,"that's","-116.91 : 43.96"
73,"dd9d2c14-b3dc-44e5-baeb-6a84101ba379","Jeanne Rainville LLP",911779024,"1991-01-06 11:54:20","72_Tracy@gmail.com","3427 Dewy Dale Round","ga","de",636976,"suggest","-159.66 : 21.94"
74,"2d19fe4d-e2df-4d68-a633-7f7bb19c01aa","Micah Lewis Inc",967756271,"1985-12-16 15:07:32","73_Janice@hotmail.com","28720 Old Log Field","ny","us",631048,"do if","-84.74 : 35.29"
75,"c8eaf13c-e84d-4b85-a3d2-223194ac9a8f","Maria Parker Inc",970208426,"1995-01-08 08:58:26","74_Patrick@gmail.com","63555 Cinder Nectar Meadow","wv","jp",234675,"will anything in i","-157.85 : 21.30"
76,"4d7f28bc-58d1-4f3a-a810-4e4256905e16","Marcos Montoya Inc",914680397,"1997-12-30 17:06:24","75_Christopher@gmail.com","5231 Thunder Rock Lane","mi","ru",829536,"","-84.67 : 34.05"
77,"c1f97188-d19d-46f4-8ef2-29ed36c7547d","Erik Smith LLP",912606374,"1987-09-27 00:07:54","76_Pamela@gmail.com","7578 Thunder Rise Point","nh","jp",185338,"with the it's of when he's sued","0.00 : 0.00"
78,"8cdc1c5e-3f6c-4621-bc9a-d504434afd81","Faye Carpenter Store",968047006,"1997-09-14 16:51:02","77_Gertrude@gmail.com","18432 Pleasant Anchor Promenade","nj","br",154816,"","-79.38 : 41.31"
79,"0a91ef0d-6ecf-49ff-a03b-9f8b866fa906","Bianca Kalb Inc",885150370,"1981-06-01 09:33:06","78_Richard@gmail.com","88003 Merry Robin Point","az","us",718066,"women on fine week it","-78.07 : 38.05"
80,"f8e40408-5c45-4732-942a-723a8f7b6576","Sadie Rodriquez Inc",959818850,"1991-10-26 17:03:36","79_Lawrence@gmail.com","13354 Small Cottage Glen","ky","us",876408,"humiliations help a you","-84.65 : 35.17"
81,"23696c5d-6708-4242-986a-a21b60fafe41","Ernest Cain Inc",890785814,"1989-12-25 05:58:49","80_Stacy@gmail.com","77662 Auburn Chestnut Highlands","mn","in",248662,"are for that simpson the get we've buy you for fence","-70.78 : 43.44"
82,"98348913-8ecc-4dc5-9524-5df9bc307141","Karen Redmon Inc",886059984,"1990-08-16 20:32:47","81_John@hotmail.com","7561 Still Fawn Road","fl","pi",821996,"to number out chuck","-75.19 : 44.85"
83,"16922867-a7f9-49c5-86fe-2f71d3fbcbff","Charles Adams Inc",933722473,"1993-11-07 17:15:23","82_David@gmail.com","690 Big Pioneer Shoal","dc","br",450621,"of door grow medlin the","-83.35 : 30.59"
84,"703fd05b-4e87-4569-ac71-faa8bb7299f9","Joshua Gillespie Inc",985753595,"1999-02-05 10:06:37","83_Donald@hotmail.com","24 Lost Anchor Arbor","oh","in",181787,"","-76.93 : 40.46"
85,"23f71391-ff79-49ba-b832-4f1946bd8380","Clifton Marroquin LLP",935898886,"1997-03-25 13:50:54","84_James@yahoo.com","4583 Bent Island Bend","oh","ru",323368,"i'm final laughs a skipped or","-121.60 : 36.08"
86,"3bc2a675-5671-4d90-adee-090221f580cd","Maria Underwood Inc",889741052,"1998-09-12 19:17:39","85_Maria@yahoo.com","4622 Silent Anchor Knoll","mi","fr",820563,"marge boy this place but need","-88.36 : 42.10"
87,"d243fa14-b938-43b1-870c-065b64d7a756","Arturo Venuti Store",941053670,"1996-01-23 13:18:49","86_Daniel@hotmail.com","30856 Indian Island Knoll","nc","us",253767,"pretty showroom clean can we","-82.91 : 42.38"
88,"2873b735-82bc-43c4-92ff-5b4ccb112790","Harold Roberts Inc",983425828,"1987-01-13 13:38:29","87_Eugene@gmail.com","47147 Rocky Forest View","pa","in",879311,"you please that everything eh in get because once to there's for army okay all whatever show","-122.90 : 38.24"
89,"31e05f97-40b3-4699-a842-d1a863651f99","Lane Haley Inc",943581032,"1992-04-09 00:08:08","88_Mary@yahoo.com","6737 Old Bluff Shoal","ia","ru",698201,"years you","-155.16 : 19.93"
90,"c5c1ec5f-de4f-44d1-bda9-e3d7b8078387","Jon Todd Inc",909670329,"1996-07-27 08:36:34","89_Norman@gmail.com","53830 Windy Elk Shoal","mn","de",629373,"not","-102.47 : 43.23"
91,"ab82480f-e8f2-4645-9748-9f313e9f164d","Margurite Thomson Inc",926572638,"1990-10-16 11:39:12","90_Sammy@yahoo.com","28569 Rocky Panda Race","ga","ru",927993,"the here very the","-88.21 : 44.49"
92,"3d5d4fac-8c65-4439-a1fb-3aba103b5672","Margaret Griffith Inc",954900098,"1983-04-14 06:12:32","91_John@yahoo.com","85190 Heather Peach Crest","oh","mx",178154,"to to","-82.93 : 43.56"
93,"dd9969d7-fc0b-4329-a658-86be2f38e810","Kenneth Prince Inc",980014304,"1982-06-26 05:53:24","92_John@gmail.com","63563 Quiet River Point","nh","br",343488,"that little out hate to also and government","-75.88 : 38.94"
94,"ec270c01-b32a-4845-94cf-f6c7d6a979d8","Clifford Acosta Inc",880788324,"1980-05-22 23:30:18","93_Shirley@yahoo.com","12495 Red Willow Arbor","mn","ru",233000,"they i cassels what they'll ooh fat your car you it that it police wrote my kids the stop put with the are to conceal faq","-97.51 : 35.46"
95,"2caa850b-934a-4dea-93bd-bad31a24f508","Edward Fox Inc",999722594,"1985-01-15 18:36:26","94_Pablo@gmail.com","40417 Fallen Nectar Road","ga","us",475131,"my line","-96.01 : 41.26"
96,"0e4269eb-4c1c-4bb9-9053-75d84bee0898","Brian Donaldson Inc",939041592,"1986-05-17 04:31:46","95_James@gmail.com","33867 Turning Brook Road","il","ko",683248,"","-98.93 : 27.43"
97,"d7e5dc2a-0374-4b32-b305-6f0432a05e0d","Ralph Martin Inc",889554523,"1996-03-04 21:58:48","96_Julius@gmail.com","2043 Lonely Quail Point","pa","pi",767643,"bagnall where with off springfield all hat mom innocent sound must","-82.37 : 34.83"
98,"d699e35f-f0c4-44c4-b96d-f03499a312ad","Earl Pellegrino Inc",908358430,"1996-06-10 05:01:54","97_Micheal@yahoo.com","63924 Quaking Butterfly Corner","ok","br",973873,"the coming","-101.02 : 47.29"
99,"ae1309ec-b621-4884-bd46-af9489c5fa12","Santiago Morgan Inc",902258096,"1983-06-07 21:01:31","98_Tameka@hotmail.com","43444 Auburn Fawn Crest","oh","in",779406,"keep with","-79.84 : 40.50"
100,"8080aab0-740e-4a8d-bcd1-f3628636c742","Denise Brookes Inc",895681691,"1990-05-25 17:35:19","99_Bernadette@gmail.com","19587 White Brook Grove","nj","uk",634166,"before","-71.56 : 42.39"
101,"3497b061-7eba-4633-9f56-665540b70fd9","Lindsey Vazquez Store",989265592,"1992-09-10 03:49:41","100_Nathaniel@gmail.com","24728 Fallen Pine Bluff","mo","us",697350,"person with new","-81.40 : 41.64"
102,"946a40d0-9cbf-4351-a2d0-a014b5b340f7","Amanda Ochoa Inc",920266537,"1981-10-14 05:52:27","101_Tracy@gmail.com","12230 Velvet Apple Gate","ca","us",738432,"mom guy you i","-94.70 : 37.83"
103,"fc25bd4b-06e8-4527-b294-08bc76e29fd8","Diane Perry Inc",995025934,"1987-01-29 23:24:47","102_Janet@yahoo.com","13136 Sunny Pine Saunter","tn","us",885781,"if we're an yells it good man see","-84.91 : 34.36"
104,"363ef6cb-5217-4724-bb44-476ab69a6071","Juan Tamayo LLP",905263721,"1997-03-14 23:00:03","103_Manuel@yahoo.com","92497 Rustic Dove Bank","il","jp",960214,"with to done to the fish","-119.76 : 39.16"
105,"81c13fbd-0fc7-4be5-821d-ab439d5a4a66","Helene Estrada Store",926930682,"1985-08-20 18:33:52","104_Jerry@gmail.com","8500 Rustic Pine Flats","va","ru",655111,"","-75.23 : 43.10"
106,"3fdd7681-5b23-4645-a0f9-4370882c6128","Vickie Herman Inc",937872511,"1981-05-26 12:30:57","105_Debora@gmail.com","630 Red Snake Hollow","va","jp",930741,"the best dollars the first win just cost your","0.00 : 0.00"
107,"d88d0af5-832a-4cea-ab83-76055eb61e2b","Norman Hill Inc",969859904,"1987-05-14 16:42:02","106_Amy@yahoo.com","13250 Sweet Bridge Run","in","de",872410,"nothing in the but could of and passes prufrock","-80.45 : 39.68"
108,"9c1eaea4-b9b6-4bbc-a13e-26d4d370146d","Jose Trammell Store",903503564,"1991-04-28 16:05:15","107_Micheal@gmail.com","97263 Round Nest Nook","ma","in",132062,"closed work all","-92.35 : 42.49"
109,"2e68a276-beca-4352-8333-b694e106dac7","Mary Godfrey Inc",956783502,"1998-05-30 22:36:39","108_James@yahoo.com","82576 Middle Swan Way","ia","pi",506711,"novelty things uniform you a to your ice work little let writing to to well dream hate","-75.15 : 43.52"
110,"a172bdf2-1de8-487f-a83f-9fe7105feeba","Anthony Duke LLP",964539478,"1992-11-09 07:27:29","109_Arcelia@gmail.com","10616 Sleepy Nut Isle","mn","us",848064,"simpson dolly oh but bowl are","-85.65 : 42.96"
111,"44212b6a-02c7-4959-87b4-0b1e710073c0","Phillip Powers Store",900458927,"1992-05-10 20:27:33","110_Lance@gmail.com","5860 Colonial Spring Highlands","nc","de",988722,"know special i film watching but thoughts cuts soon","-76.32 : 37.55"
112,"7e2ab9b3-cc20-421d-9742-aad5c6f7533f","Crystal Hudock Inc",930310897,"1988-07-02 15:51:27","111_Robert@hotmail.com","9606 Indian Hills Turn","ct","us",198969,"a i the the homer that the with broken","-73.78 : 44.25"
113,"1f0a5f36-698c-4017-b5e3-62c0131cdfb1","Miguel Anderson Inc",925030188,"1993-09-22 04:06:34","112_Richard@gmail.com","52807 Lone Bluff Trek","nj","in",364108,"to","-92.33 : 35.94"
114,"6efc6b75-20f2-4038-ac1b-ef29f6bfc9aa","Sue Moore LLP",974400204,"1995-03-22 02:00:53","113_Wanda@yahoo.com","169 Heather Castle Dale","ut","in",499461,"that from laughing gonna little no i metastasis no oh son well another i'll and red already that hold right hey let's to thing you you say","-89.99 : 38.40"
115,"7e83bb5f-8159-401f-9f93-cf2885397fb2","Alexander Rowe Store",994567818,"1991-10-04 11:57:46","114_Thomas@gmail.com","82398 Rough Lamb Landing","pa","ru",614044,"been doing","-98.61 : 34.62"
116,"d9826207-193a-4361-a101-647d092e0a36","Robert Johnson Inc",986565698,"1986-05-22 16:53:05","115_Marion@gmail.com","3176 Middle Prairie Lace","pa","mx",634836,"clothes toxin my i've jerks nine about yeah be him didn't now","-101.44 : 34.12"
117,"29796a9d-4b5e-4857-bcf0-6372b15fab02","Cora Tindell Inc",941192060,"1991-11-25 12:02:02","116_Billy@hotmail.com","40353 Lone Shadow Quay","ny","ru",257615,"of place again right of i a bank casino my with you","-94.62 : 43.98"
118,"43abf1b5-8c53-4752-acbb-9a7e11db0bf7","Marcella Charles LLP",987787697,"1991-03-19 10:35:26","117_Hugh@gmail.com","65740 Birch Stone Ledge","ca","in",483482,"","-79.12 : 38.99"
119,"9f97a33e-9a39-4a1c-bad5-9c3ec5432afc","Christopher Lee LLP",885074557,"1980-11-21 20:32:24","118_Wayne@gmail.com","66536 Bright Treasure Twist","ga","pi",368893,"hey and hey future i boogie","-88.30 : 36.76"
120,"dd7dffc2-284c-4b54-a2a2-402835ad8164","James Thomas Inc",934445953,"1992-02-25 07:11:56","119_Paul@yahoo.com","77320 Stony Stone Heights","ny","de",615777,"i is","-88.29 : 41.76"
